latitude,longitude,cone,type
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
0,0,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
42.39332167,-72.52950287,0,T
